event_contact_no,event_details,latitude,longitude,service_type
1713726375,ছোনকা গরুর হাট,24.60299128,89.44451654,পশুর হাট
1713466747,রনবাঘা নন্দীগ্রাম পশুর হাট,24.59337694,89.23714841,পশুর হাট
,রাণীরহাট শাহজানপুর পশুর হাট,24.80762151,89.35598883,পশুর হাট
1716865909,মোকামতলা শিবগঞ্জ,25.0144538,89.37031425,পশুর হাট
01712-928335,বানেস্বর বাজার,25.12620193,89.26806975,পশুর হাট
1715585474,কানাইপুর বাজার পশুর হাট,23.539722,89.769722,পশুর হাট
01729-933098,বাঘাট বাজার পশুর হাট,23.533889,89.674444,পশুর হাট
01712-690890,মুনসুরাবাদ গবাদি পশুর হাট,23.40172175,89.94854473,পশুর হাট
01714-985743,মালিগ্রাম বাজার,23.37411592,90.02713819,পশুর হাট
01712-368987,ভুরঘাটা পশুর হাট,23.07388451,90.21014529,পশুর হাট
01731-511555,টেকেরহাট বাজার,23.23304057,90.02065099,পশুর হাট
01712-822055,মাহিলারা গরুর হাট মাহিলার উচ্চ বিদ্যালয় মাঠ প্রাঙ্গন),22.92848022,90.24181921,পশুর হাট
01715-635576,ইছলাদী গরুর হাট,22.83134048,90.25652644,পশুর হাট
01719-577360,মিরপুর বাজার,24.2980432,91.51368473,পশুর হাট
01716-465213,ড্রাইভার বাজার,24.27944522,91.44086808,পশুর হাট
01735-592874,মাধবপুর বাজার,24.09830789,91.29411395,পশুর হাট
01711-654031,জনতা বাজার,24.5110513,91.58523759,পশুর হাট
01716-467141,দয়ামীর বাজার,24.752857,91.78219485,পশুর হাট
01720-540549,দরবস্ত বাজার,25.06644032,92.11008167,পশুর হাট
01719-334051,জাউয়া বাজার,24.92703113,91.55037579,পশুর হাট
01719-564452,খর্ণিয়া পশুর হাট,22.82241272,89.35308422,পশুর হাট
01740-551177,18 মাইল পশুর হাট,22.82227199,89.2704621,পশুর হাট
01712-872254,মনিরামপুর,23.0292797,89.23263711,পশুর হাট
01711-330690,আলামপুর গরুর হাট,23.84055449,89.10152552,পশুর হাট
01711-934739,আলাউদ্দিন নগর গরুরহাট,23.87832488,89.20161571,পশুর হাট
01912-989524,মাদ্রাসা বাজার পশুর হাট,23.17683611,89.53535717,পশুর হাট
01710-183505,ভাটার আমতলা গরুর হাট,23.28212389,89.26784093,পশুর হাট
,সাত মাইল গরুর হাট,22.96417937,88.98025854,পশুর হাট
01715-852190,ঝিকরগাচা পৌর গরুর হাট,23.10082893,89.09973999,পশুর হাট
,বারবাজার গরুর হাট,23.30349793,89.14742562,পশুর হাট
01718-551302,লেবু তলা গরুর হাট(অস্থায়ী),23.26417955,89.23988927,পশুর হাট
01713-914806,ভাটই বাজার পশুর হাট,23.61402549,89.18268347,পশুর হাট
,গোয়ালপাড়া পশুর হাট,23.5416856,89.2605072,পশুর হাট
01717-387677,সীমাখালী পশুর হাট (অস্থায়ী),23.32555846,89.31706945,পশুর হাট
01713-586970,কানুরামপুর বাজার,24.57222974,90.60646277,পশুর হাট
01971-403799,তিনানী পাড়া,25.18428192,89.86848583,পশুর হাট
01718-644846,সাকুয়া বাজার,24.86695082,90.70227917,পশুর হাট
01911-864372,সীড ষ্টোর,24.40818275,90.38680418,পশুর হাট
01718-409859,অস্থায়ী,25.09328603,89.38322376,পশুর হাট
01846-586927,গোলাপবাগ পশুরহাট গোবিন্দগঞ্জ,25.13354878,89.38695535,পশুর হাট
1770636325,অস্থায়ী,25.17845037,89.38860528,পশুর হাট
1755311082,অস্থায়ী,25.23762669,89.37100363,পশুর হাট
01717-267556,কালিবাড়ি পশুরহাট,25.29473442,89.34856898,পশুর হাট
01757-838256,ধাপের হাট পশুরহাট,25.34464658,89.34140377,পশুর হাট
01722-209221,অস্থায়ী,25.42559509,89.30970194,পশুর হাট
01724-088057,শঠিবাড়ি পশুরহাট,25.53118347,89.27844877,পশুর হাট
01718-787506,অস্থায়ী,25.57203784,89.27388594,পশুর হাট
01716-107355,জায়গীরহাট পশুরহাট,25.61279042,89.27718157,পশুর হাট
01755-567623,বড়বাড়ি পশুরহাট,25.87216145,89.51210706,পশুর হাট
01717-255747,নামুড়ী বাজার পশুরহাট,25.93428931,89.30560598,পশুর হাট
01710-142905,সাপটিবাড়ি পশুরহাট,25.89892164,8.93947E+15,পশুর হাট
01728-331360,কালিগঞ্জ পশুরহাট,25.95769551,89.23686982,পশুর হাট
01734-577794,অস্থায়ী,26.0022277,89.17401788,পশুর হাট
01717-325172,কাকিনা পশুরহাট,25.92185634,89.25716102,পশুর হাট
01713-087432,বড়খাতা নতুন গরুরহাট,26.19930871,89.10790305,পশুর হাট
01325-495516,অস্থায়ী,26.07816182,89.13571682,পশুর হাট
01716-901658,হাটখোলা বাজার পশুরহাট,26.11596604,89.13725347,পশুর হাট
,শীলের মাঠ পাটগ্রাম বাইপাস মোড়,26.34966146,89.01226178,পশুর হাট
01710-438430,জলঢাকা বাজার পশুরহাট,26.02014029,89.01690618,পশুর হাট
01740-652395,বড়ভিটা পশুরহাট,25.95181333,89.02773725,পশুর হাট
01784-925113,চাপানি পশুরহাট,26.11690194,89.0432981,পশুর হাট
01710-607389,শঠিবাড়িহাট ডালিয়া,26.16689413,89.03480693,পশুর হাট
"	1767465228",বড় খোঁচাবাড়ী পশুরহাট,25.99577667,88.49393606,পশুর হাট
01722-841747,বোদা বাজার পশুরহাট,26.19465997,88.5588445,পশুর হাট
01713-648292,অস্থায়ী,26.41262712,88.55870562,পশুর হাট
01739-491316,অস্থায়ী,26.47834267,88.51016793,পশুর হাট
01713-770154,অস্থায়ী,26.47049551,88.47791448,পশুর হাট
